RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), shaker, 33, 5035, 6.554121151936445, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), comb, 4349, 5000, 869.8000000000001, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), fshell, 40, 5030, 7.952286282306162, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), heap, 2239, 5000, 447.79999999999995, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), merge, 2806, 5001, 561.0877824435113, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bubble, 29, 5046, 5.747126436781609, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bucket, 4053, 5001, 810.4379124175165, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), radix, 2301, 5001, 460.10797840431917, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), quick, 4109, 5000, 821.8, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), pigeon, 33971, 5000, 6794.2, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), insert, 137, 5032, 27.225755166931634, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), select, 30, 5072, 5.914826498422713, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bogo, 5, 5711, 0.8755034144633165, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), sleep, 2, 9910, 0.20181634712411706, true
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), native, 8635, 5000, 1727, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bubble, 28, 5094, 5.496662740478995, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), select, 42, 5009, 8.384907167099222, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), insert, 175, 5002, 34.986005597760894, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), gnome, 113, 5013, 22.54139237981249, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), shaker, 41, 5119, 8.009376831412386, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), comb, 5237, 5000, 1047.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), fshell, 82, 5061, 16.202331555028653, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), heap, 4260, 5000, 852, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), merge, 4132, 5000, 826.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), quick, 6224, 5000, 1244.8, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bucket, 7174, 5000, 1434.8000000000002, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), radix, 2015, 5000, 403, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), pigeon, 28412, 5000, 5682.400000000001, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bogo, 8, 6568, 1.2180267965895248, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), sleep, 2, 9917, 0.20167389331451044, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 3894, 5000, 778.8000000000001, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 19, 5063, 3.7527157811574168, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 23, 5162, 4.455637349864394, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 7824, 0.2556237218813906, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 7837, 0.25519969376036744, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 17, 5050, 3.366336633663366, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 2657, 5000, 531.4, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 1, 12368, 0.08085381630012937, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 711, 5002, 142.14314274290285, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 1559, 5001, 311.7376524695061, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 1861, 5001, 372.125574885023, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 2590, 5005, 517.4825174825176, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 667, 5013, 133.05405944544185, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 18575, 5000, 3715.0, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 5, 5433, 0.9203018590097553, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), sleep, 2, 9935, 0.20130850528434827, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 3718, 5001, 743.4513097380524, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 1, 7851, 0.1273723092599669, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 1, 5063, 0.19751135690302193, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 6661, 0.3002552169343943, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 9691, 0.20637705087194305, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 1, 7596, 0.13164823591363875, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 138, 5027, 27.451760493335986, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 2, 8074, 0.24770869457517958, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 87, 5032, 17.28934817170111, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 141, 5008, 28.15495207667732, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 255, 5007, 50.928699820251644, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 1401, 5001, 280.1439712057589, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 65, 5014, 12.963701635420822, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 1200, 5000, 240.0, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 1, 40339, 0.024789905550459852, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), sleep, 2, 9903, 0.20195900232252853, True
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), native, 2058, 5000, 411.6, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), gnome, 71, 5025, 14.129353233830846, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), shaker, 35, 5145, 6.802721088435374, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), comb, 4466, 5000, 893.2, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), fshell, 41, 5057, 8.10757366027289, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), heap, 2238, 5000, 447.6, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), merge, 2894, 5001, 578.6842631473705, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), quick, 4213, 5000, 842.6, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bucket, 4113, 5001, 822.4355128974206, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), radix, 2310, 5001, 461.9076184763047, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), select, 31, 5155, 6.0135790494665375, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), pigeon, 34063, 5000, 6812.599999999999, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bubble, 30, 5048, 5.942947702060222, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), insert, 142, 5007, 28.360295586179348, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bogo, 5, 5625, 0.888888888888889, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), sleep, 2, 9917, 0.20167389331451044, true
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), native, 8787, 5000, 1757.4, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bubble, 29, 5153, 5.627789637104599, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), select, 43, 5024, 8.55891719745223, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), insert, 180, 5021, 35.84943238398725, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), gnome, 116, 5038, 23.025009924573244, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), shaker, 42, 5073, 8.27912477823773, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), comb, 5310, 5000, 1062, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), fshell, 82, 5037, 16.27953146714314, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), heap, 4280, 5000, 856, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), merge, 4321, 5000, 864.1999999999999, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), quick, 6234, 5000, 1246.8, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bucket, 7195, 5000, 1439, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), radix, 2173, 5001, 434.5130973805239, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), pigeon, 27956, 5000, 5591.2, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bogo, 8, 6644, 1.2040939193257074, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), sleep, 2, 9904, 0.20193861066235866, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 4052, 5000, 810.4, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 19, 5033, 3.775084442678323, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 23, 5123, 4.489556900253757, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 7801, 0.25637738751442124, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 7858, 0.2545176889793841, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 17, 5031, 3.379049890677798, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 2638, 5000, 527.5999999999999, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 1, 12208, 0.08191349934469201, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 701, 5000, 140.2, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 1595, 5001, 318.9362127574485, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 1858, 5001, 371.52569486102783, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 2610, 5002, 521.7912834866053, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 635, 5008, 126.79712460063897, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 18209, 5000, 3641.7999999999997, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 5, 5406, 0.9248982611912689, True
Python/PyPy3 3.8.12 (64bit), Windows-10-10.0.19042-SP0 (AMD64), sleep, 2, 9914, 0.2017349203147065, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), native, 3836, 5000, 767.2, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bubble, 1, 7855, 0.1273074474856779, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), select, 1, 5103, 0.1959631589261219, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), insert, 2, 6714, 0.29788501638367587, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), gnome, 2, 9738, 0.20538098172109262, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), shaker, 1, 7606, 0.1314751511964239, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), comb, 139, 5032, 27.623211446740857, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), fshell, 2, 8052, 0.24838549428713363, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), heap, 87, 5049, 17.2311348781937, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), merge, 139, 5008, 27.755591054313097, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), quick, 249, 5001, 49.79004199160168, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bucket, 1358, 5000, 271.6, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), radix, 64, 5051, 12.670758265689962, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), pigeon, 1159, 5003, 231.66100339796122, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), bogo, 1, 40783, 0.0245200205968173, True
Python/Python 3.10.0 (64bit), Windows-10-10.0.19042-SP0 (AMD64), sleep, 2, 9915, 0.20171457387796268, True
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), native, 2029, 5000, 405.8, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bubble, 29, 5043, 5.750545310331153, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), select, 30, 5114, 5.866249511145875, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), insert, 139, 5012, 27.73343974461293, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), gnome, 70, 5069, 13.809429867824027, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), heap, 2174, 5001, 434.71305738852226, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), merge, 2781, 5001, 556.0887822435513, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), fshell, 40, 5021, 7.966540529774946, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bucket, 3865, 5000, 773, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), radix, 2157, 5001, 431.3137372525495, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), pigeon, 33617, 5000, 6723.4, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), shaker, 33, 5026, 6.565857540787903, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), quick, 4061, 5000, 812.2, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), comb, 4429, 5001, 885.622875424915, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), bogo, 5, 5901, 0.8473140145738011, true
TypeScript/Node.js v16.12.0 (x64), Windows_NT 10.0.19042 (x64), sleep, 2, 9927, 0.20147073637554144, true
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), native, 8670, 5000, 1734, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), bubble, 28, 5084, 5.507474429583006, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), select, 42, 5017, 8.371536774965119, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), insert, 176, 5006, 35.1578106272473, True
C#/.NET 5.0.11 (X64), Microsoft Windows NT 10.0.19042.0 (X64), gnome, 113, 5032, 22.456279809220984, True
