RUNTIMES, PLATFORM, TIMES, MS, TIMES/S, N, COMPLITE,
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1119, 5000, 223.8, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1033, 5004, 206.43485211830537, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2286, 5001, 457.10857828434314, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 1148, 5004, 229.41646682653877, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 327, 5009, 65.2824915152725, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 5710, 5000, 1142, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11234, 0.08901548869503294, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9914, 0.2017349203147065, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1628, 5000, 325.6, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 27360, 0.03654970760233918, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 19642, 0.050911312493636084, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11094, 0.09013881377321074, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 15674, 0.06379992344009186, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 24762, 0.040384460059769, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 42, 5082, 8.264462809917356, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 15342, 0.06518055012384304, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 28, 5154, 5.43267365153279, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 33, 5042, 6.545021816739389, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 71, 5003, 14.19148510893464, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 394, 5000, 78.8, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 20, 5235, 3.8204393505253105, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 361, 5007, 72.09906131416018, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 164123, 0.006092991232185617, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9915, 0.20171457387796268, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 716, 5006, 143.02836596084697, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5473, 1.4617211766855474, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5602, 1.4280614066404855, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5190, 4.624277456647399, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5227, 2.6784006122058543, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5140, 1.556420233463035, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1336, 5002, 267.093162734906, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5037, 1.7867778439547348, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 719, 5005, 143.65634365634367, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 818, 5005, 163.43656343656343, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1525, 5002, 304.8780487804878, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1084, 5000, 216.79999999999998, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 540, 5006, 107.87055533359968, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7235, 5000, 1447, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22598, 0.044251703690592094, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9908, 0.20185708518368994, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3840, 5000, 768, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5208, 2.49615975422427, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5138, 2.919423900350331, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5090, 7.662082514734774, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 33, 5152, 6.40527950310559, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5108, 3.3281127642913075, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1799, 5002, 359.656137544982, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5136, 4.0887850467289715, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1158, 5005, 231.36863136863136, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1046, 5002, 209.11635345861657, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2330, 5000, 466, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 1169, 5002, 233.7065173930428, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 325, 5001, 64.9870025994801, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 6143, 5000, 1228.6, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11260, 0.08880994671403197, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9912, 0.20177562550443906, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1627, 5002, 325.2698920431827, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 26005, 0.03845414343395501, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 20140, 0.04965243296921549, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11300, 0.08849557522123894, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 17046, 0.058664789393406074, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 25942, 0.03854752910338447, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 42, 5063, 8.295476989926922, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 16517, 0.06054368226675546, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 27, 5028, 5.369928400954653, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 34, 5106, 6.658832745789268, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 70, 5036, 13.899920571882445, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 391, 5011, 78.02833765715427, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 19, 5101, 3.724759851009606, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 367, 5010, 73.25349301397206, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 165899, 0.006027763880433275, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9914, 0.2017349203147065, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 717, 5004, 143.2853717026379, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5476, 1.4609203798392987, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5599, 1.4288265761743169, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5182, 4.631416441528367, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5238, 2.672775868652157, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5142, 1.5558148580318942, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1333, 5000, 266.6, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5044, 1.7842981760507532, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 719, 5003, 143.71377173695782, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 818, 5004, 163.46922462030375, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1516, 5003, 303.0181890865481, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1091, 5002, 218.11275489804078, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 541, 5003, 108.13511892864281, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7193, 5000, 1438.6000000000001, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22577, 0.044292864419542013, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9907, 0.20187746038154838, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3800, 5000, 760, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5016, 2.59170653907496, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5114, 2.9331247555729374, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5024, 7.762738853503185, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 33, 5117, 6.4490912644127425, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5073, 3.351074315000986, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1819, 5001, 363.72725454909016, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5100, 4.11764705882353, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1142, 5004, 228.21742605915267, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1067, 5003, 213.27203677793324, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2262, 5000, 452.40000000000003, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 1150, 5002, 229.90803678528587, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 316, 5009, 63.08644440007985, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 5725, 5000, 1145, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11307, 0.08844078889183692, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9905, 0.20191822311963656, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1550, 5001, 309.9380123975205, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 27165, 0.036812074360390204, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 19379, 0.051602249858093814, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11431, 0.08748141020033243, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 16523, 0.060521697028384676, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 25247, 0.03960866637620311, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 42, 5058, 8.30367734282325, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 16042, 0.06233636703652911, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 28, 5176, 5.4095826893353935, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 35, 5068, 6.906077348066298, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 70, 5023, 13.935894883535735, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 401, 5002, 80.16793282686925, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 20, 5015, 3.9880358923230306, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 372, 5004, 74.34052757793765, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 163506, 0.006115983511308453, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9913, 0.20175527085645112, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 715, 5001, 142.97140571885623, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5479, 1.4601204599379447, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5582, 1.4331780723754926, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5174, 4.6385775028991105, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5226, 2.6789131266743205, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5150, 1.5533980582524274, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1338, 5003, 267.4395362782331, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5021, 1.7924716191993626, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 715, 5000, 143, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 820, 5004, 163.86890487609912, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1523, 5000, 304.59999999999997, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1081, 5003, 216.07035778532878, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 534, 5005, 106.6933066933067, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7223, 5000, 1444.6000000000001, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22493, 0.044458275908060285, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9907, 0.20187746038154838, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3772, 5000, 754.4, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5130, 2.53411306042885, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5125, 2.926829268292683, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5065, 7.699901283316881, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 33, 5135, 6.426484907497565, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5166, 3.290747193186218, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1797, 5000, 359.4, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5146, 4.080839486980179, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1135, 5002, 226.9092363054778, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 1039, 5001, 207.75844831033794, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2305, 5000, 461, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 1179, 5003, 235.65860483709776, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 326, 5001, 65.1869626074785, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 5858, 5000, 1171.6, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11168, 0.08954154727793696, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9913, 0.20175527085645112, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1620, 5001, 323.9352129574085, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 25939, 0.03855198735494815, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 19376, 0.051610239471511145, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11583, 0.086333419666753, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 16029, 0.06238692370079231, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 24552, 0.04072987943955686, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 42, 5077, 8.272601930273785, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 15461, 0.06467886941336265, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 26, 5028, 5.171042163882259, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 32, 5022, 6.371963361210673, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 70, 5004, 13.98880895283773, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 402, 5005, 80.31968031968032, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 20, 5198, 3.847633705271258, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 360, 5007, 71.8993409227082, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 165685, 0.006035549385882849, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), sleep, 2, 9918, 0.20165355918531963, True
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), native, 716, 5004, 143.0855315747402, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bubble, 8, 5473, 1.4617211766855474, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), select, 8, 5632, 1.4204545454545454, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), insert, 24, 5178, 4.634994206257242, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), gnome, 14, 5234, 2.6748184944593043, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), shaker, 8, 5138, 1.557026080186843, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), comb, 1338, 5001, 267.5464907018596, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), fshell, 9, 5007, 1.797483523067705, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), heap, 722, 5005, 144.25574425574425, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), merge, 817, 5005, 163.23676323676324, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), quick, 1519, 5001, 303.7392521495701, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bucket, 1064, 5002, 212.71491403438625, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), radix, 543, 5007, 108.44817255841821, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), pigeon, 7156, 5001, 1430.9138172365529, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), bogo, 1, 22611, 0.04422626155411083, true
TypeScript/Node.js v16.13.0 (arm), Linux 5.10.63-v7l+ (arm), sleep, 2, 9907, 0.20187746038154838, true
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), native, 3701, 5000, 740.1999999999999, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bubble, 13, 5143, 2.5277075636787867, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), select, 15, 5087, 2.9486927462158445, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), insert, 39, 5067, 7.696862048549438, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), gnome, 32, 5002, 6.397441023590564, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), shaker, 17, 5105, 3.3300685602350635, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), comb, 1767, 5000, 353.4, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), fshell, 21, 5160, 4.069767441860465, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), heap, 1124, 5002, 224.71011595361855, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), merge, 999, 5002, 199.7201119552179, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), quick, 2136, 5001, 427.11457708458306, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bucket, 1011, 5001, 202.1595680863827, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), radix, 319, 5002, 63.774490203918425, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), pigeon, 3140, 5000, 628, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), bogo, 1, 11870, 0.08424599831508003, True
C#/.NET 5.0.0 (Arm), Unix 5.10.63.7 (Arm), sleep, 2, 9916, 0.20169423154497781, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), native, 1614, 5002, 322.67093162734903, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bubble, 1, 24693, 0.04049730692908922, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), select, 1, 17182, 0.05820044232336166, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), insert, 1, 11595, 0.086244070720138, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), gnome, 1, 16189, 0.06177033788374823, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), shaker, 1, 25875, 0.03864734299516908, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), comb, 39, 5028, 7.756563245823389, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), fshell, 1, 15465, 0.06466214031684449, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), heap, 27, 5128, 5.265210608424337, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), merge, 34, 5104, 6.661442006269593, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), quick, 71, 5066, 14.01500197394394, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bucket, 388, 5009, 77.46057097224995, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), radix, 19, 5019, 3.785614664275752, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), pigeon, 356, 5004, 71.14308553157474, True
Python/Python3 3.7.3 (32bit), Linux-5.10.63-v7l+-armv7l-with-debian-10.11 (armv7l), bogo, 1, 163728, 0.0061076908042607255, True
